"INSTN","ADM_RATE","SAT_AVG","DEG_MS","PERC_WHITE","PERC_PT","NET_PRICE","NET_PRICE_30k","FAC_SAL","PCT_PELL","SIX_YR_CP","LOAN_DEF","PELL_DEBT_MDN","NOPELL_DEBT_MDN","FAM_INC"
"Oberlin College","0.2878","1357","0.0304","0.6813","0.0058","32061","11843","10558","0.0956","0.8755","0.013","24087","24000","132824.87816"
"The College of Wooster","0.5529","1237","0.0334","0.6876","0.0049","24131","14555","8310","0.1922","0.8184","0.011","25137","19500","101369.1014"
"Linfield College-McMinnville Campus","0.8391","1061","0.0404","0.5995","0.0168","25278","20144","6888","0.2674","0.6286","0.019","22710","20468","78386.037007"
"Reed College","0.3499","1383","0.0224","0.6046","0.0057","23267","10457","10412","0.182","0.8174","0.033","14500","13500","94533.42623"
"Willamette University","0.7794","1228","0.0256","0.6171","0.0104","29770","22710","9507","0.1985","0.7948","0.017","23750","19500","96816.316527"
"Bryn Athyn College of the New Church","0.4214","952","0","0.6176","0.0331","12703","7373","7255","0.4396","0.6154","0.085","10250.5","10539","54503.574074"
"Bryn Mawr College","0.3851","1346","0.0901","0.3565","0.0104","28732","13865","10588","0.1613","0.8508","0.016","25847.5","21500","93933.398305"
"Bucknell University","0.2478","1315","0.0109","0.7675","0.0026","36834","24576","10761","0.1091","0.8989","0.021","26315","26000","129447.02789"
"Haverford College","0.2457","1433","0.0638","0.607","0","23336","4388","10132","0.1633","0.8978","0.032","8511","15070.5","101553.85441"
"Lafayette College","0.3025","1294","0.0325","0.6655","0.0056","32047","12156","11288","0.0983","0.8961","0.009","20381","26798","149588.60682"
"Lycoming College","0.7122","1034","0.0227","0.6976","0.0048","17819","11747","7491","0.3274","0.6371","0.042","27000","22750","73440.871573"
"Moravian College","0.7457","1006","0.0263","0.7167","0.0459","27898","22531","7419","0.3019","0.686","0.042","26000","20250","83482.912738"
"Saint Vincent College","0.6981","1059","0.0395","0.8471","0.0107","19521","14455","7401","0.2903","0.6883","0.03","25002.5","22812","89266.592308"
"Swarthmore College","0.1248","1431","0.0403","0.4221","0","21858","7864","12458","0.1537","0.9391","0","14500.5","19500","84985.319231"
"Westminster College","0.9404","1028","0.0212","0.7724","0.0163","20615","15518","6612","0.3227","0.7051","0.027","27000","23250","77821.25"
"Claflin University","0.4133","815","0.0152","0.0108","0.0201","21426","21027","6410","0.7515","0.4206","0.117","23750","20688","35208.495032"
"Erskine College","0.6428","993","0.0225","0.6748","0.0049","17802","14450","5568","0.4257","0.6209","0.049","17375","9500","73225.437326"
"Presbyterian College","0.6231","1082","0.0361","0.7747","0.0135","18963","12646","7637","0.2391","0.6951","0.05","20125","19452","77608.847118"
"Wofford College","0.7181","1170","0.0398","0.8094","0.0048","22964","16496","8046","0.1888","0.8082","0.036","22000","19903","105349.99443"
"Fisk University","0.8093","937","0.0114","0.0074","0.0447","15975","17995","5768","0.5726","0.5281","0.08","20500","15000","42875.668281"
"Lane College","0.5454","758","0.0165","0.0145","0.0182","13637","13573","4960","0.9247","0.2431","0.122","16692","5500","21073.593567"
"Maryville College","0.6678","1052","0.0144","0.7788","0.0102","16138","12014","6559","0.4584","0.5263","0.059","18132","14125","59502.334302"
"Rhodes College","0.4687","1306","0.0043","0.744","0.002","27322","17996","8183","0.1374","0.8267","0.021","25375","21500","126241.89961"
"Austin College","0.541","1165","0.0404","0.5255","0.0065","22565","17432","7047","0.2723","0.7312","0.053","23250","20477.5","79684.706861"
"Huston-Tillotson University","0.4742","786","0.0255","0.0517","0.0465","17545","16045","5440","0.6595","0.2218","0.225","17993","8750","35371.683761"
"Southwestern University","0.4422","1168","0.0201","0.6158","0.0099","22573","16864","7795","0.2653","0.7493","0.04","25754","20000","86572.015267"
"Middlebury College","0.1744","1383","0.019","0.6479","0.0056","23303","3003","10741","0.1334","0.9436","0.015","12866","15850","87785.760073"
"Bridgewater College","0.4927","1034","0.0086","0.7345","0.0033","19722","16530","6430","0.2717","0.5312","0.046","23000","19500","86391.352052"
"Emory & Henry College","0.7637","980","0.0228","0.7307","0.0069","20166","15863","6243","0.3854","0.5406","0.068","18250","18000","64530.444056"
"Eastern Mennonite University","0.6171","1009","0.0111","0.7094","0.0896","21344","20892","6003","0.3297","0.6101","0.029","15405.5","14845","67052.206169"
"Hampden-Sydney College","0.5479","1112","0.0188","0.8086","0.0009","27154","19979","8091","0.1982","0.6336","0.039","25922","19500","110845.11557"
"Hollins University","0.6099","1124","0.014","0.6397","0.0206","17408","14987","6796","0.4597","0.5707","0.042","19500","18565","57137.344262"
"Randolph-Macon College","0.6637","1098","0.0201","0.7829","0.0157","25266","19357","8001","0.2389","0.5773","0.044","26700","21612.5","101715.99845"
"Randolph College","0.8053","1014","0.0234","0.6767","0.006","24215","23296","7731","0.2904","0.6889","0.054","21230","15250","81633.422961"
"University of Richmond","0.3111","1337","0.0139","0.5941","0.0769","23329","7569","11913","0.1817","0.8769","0.021","19608","19500","94688.377203"
"Roanoke College","0.7246","1092","0.0276","0.82","0.0184","27985","23674","7447","0.2546","0.6607","0.051","26856","20625","100572.43086"
"Southern Virginia University","0.3829","1041","0","0.7995","0.022","20053","18247","6203","0.5219","0.3012","0.086","12000","5500","67314.799564"
"Sweet Briar College","0.9495","1098","0.0076","0.7076","0.0169","24606","21574","6905","0.2836","0.6369","0.012","16000","12000","63366.343558"
"Virginia Wesleyan College","0.9254","982","0.0255","0.5392","0.0514","24141","25815","7700","0.4031","0.4732","0.073","20000","14000","66444.890361"
"Washington and Lee University","0.2388","1395","0.0391","0.8227","0.0005","24472","-134","12611","0.0952","0.9087","0.011","17666","20250","138540.22302"
"Whitman College","0.4272","1314","0.0561","0.7249","0.0111","36433","25609","8832","0.1008","0.8734","0.004","17500","14750","114423.6935"
"Bethany College","0.7021","907","0.0246","0.5114","0.0057","17927","14155","5800","0.4773","0.4094","0.162","19865","14375","63127.224576"
"Carthage College","0.7024","1145","0.0311","0.7498","0.0793","35473","24840","8052","0.2825","0.5881","0.052","25052.5","19500","93253.185944"
"Northland College","0.5716","1118","0.0484","0.8282","0.0097","18746","13277","6407","0.3818","0.5821","0.046","21375","15000","69329.575563"
"Ripon College","0.6612","1105","0.0051","0.8348","0.0013","17824","13770","6914","0.3821","0.6895","0.032","28510","21000","78601.837696"
"Saint Norbert College","0.7769","1125","0.0037","0.8869","0.0102","22907","15654","6857","0.2221","0.733","0.012","26200","21187.5","95032.415054"
"Wisconsin Lutheran College","0.9183","1101","0.0338","0.8314","0.0833","19263","14512","6104","0.3147","0.6238","0.033","18750","19250","75633.945946"
"Soka University of America","0.4612","1229","0","0.2037","0","5782","4984","10936","0.292","0.8571","0.022","19250","21930.5","55530.393939"
"Ave Maria University","0.4277","1098","0.0529","0.607","0.0141","18072","14398","6995","0.2821","0.5139","0.128","18000","11000","93274.317526"
"The King's College","0.3958","1181","0","0.6224","0.0184","28378","25177","8950","0.3429","0.4466","0.08","14750","15750","79942.229167"
