"fips","PST045214","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN131207","AFN120207","BPS030214","POP060210","State","VoterProp"
30073,6219,6.6,24.5,19.6,51.3,82.3,0.3,14.5,0.3,0,2.5,1.8,81.4,83.3,3.1,9,87,20.5,477,17.4,2641,69.1,11,99000,2302,2.52,22256,41277,17.5,0.0276571796108699,0.224473388004502,2.4,0.0694645441389291,0.0797555877150667,0,0,0,0,0,6.5,0,7.41582247949831,10886,0.673902556681138,0,3.8,"MT",0.561194118856016
30075,1783,2.7,17.4,23.6,49.4,95.9,0.1,1.9,0.2,0,2,2,94.2,88.5,0,1.8,93.1,19.9,136,13.7,1013,69.9,4.1,105200,720,2.26,28528,46250,9.2,0.0415030846887269,0.195737521031969,6.1,0.104879416713404,0.106561974200785,0,0,0,0,0,0,0,0,8108,1.25687044307347,0,0.5,"MT",0.681035173463665
30077,6909,4.2,15.6,18.5,38.1,92.3,1.1,4.6,0.5,0,1.3,2.3,90.4,79.4,0.4,5,90.3,17.8,907,14.9,3097,71.5,7.5,120900,2411,2.31,19736,40802,15.3,0.0235924156896801,0.155159936314952,4.7,0.0696193370965407,0.115356781010276,0,0,0,0,0,0,0,0,4921,1.05210594876248,0.00246055869156173,3,"MT",0.459939950569317
30079,1148,6.5,18.3,30,49.2,94.8,0.3,0.4,0.9,0,3.7,2.1,92.7,93.4,1.7,4.6,86.8,16.9,162,16.9,669,86.9,2.9,69800,502,2.31,20644,38036,21.5,0.0339721254355401,0.123693379790941,-6.6,0.0722996515679443,0.252613240418118,0,0,0,0,0,0,0,0,7025,0.769163763066202,0,0.7,"MT",0.730342589315035
30081,41030,4.8,20.3,23.1,50.3,95.7,0.5,1.1,0.7,0.1,1.9,3.3,92.9,85,2.1,3.8,92.1,24.5,4460,26.1,19553,72.9,9.5,233700,16848,2.37,22872,38688,16.8,0.0335851815744577,0.212551791372167,2.3,0.101096758469413,0.153716792590787,0,0,0,0,1.3,0,3.17411650012186,4.02130148671704,8556,0.888886180843285,0.000365586156470875,16.8,"MT",0.589677779609191
30083,11576,7.2,24.7,13,47.7,94.6,0.5,1.9,0.5,0.1,2.5,4.8,90.3,82.7,1.5,3.6,90.2,17.7,759,17.3,5010,69.1,13.1,153000,4270,2.4,32036,58112,14.2,0.0494989633724948,0.501900483759502,1.2,0.0818935729094679,0.0915687629578438,0,0,0,0,0,20.3,0,20.3727539737388,14138,1.70179682100898,0.0141672425708362,4.7,"MT",0.512921821123706
30085,11332,9.7,32,10.5,49.7,38.1,0.3,58,0.4,0,3.3,2.5,37.3,90.3,0.8,3.1,83.9,13.7,504,13.6,4080,58.9,8.4,70100,3264,3.21,16888,36920,26.6,0.0205612424991175,0.209848217437346,19.3,0.0480938933992234,0.0593893399223438,0,0,0,0,0,0,0,5.84892340275327,9869,0.853070949523473,0.00105894811154253,4.4,"MT",0.460305018583501
30087,9326,8.7,29.2,13.6,49.6,59.7,0.3,36.3,0.5,0,3.1,4.1,58,92.7,1.4,8.4,89.1,22.3,786,14.1,4107,68.5,13.6,110900,3268,2.82,22229,48789,17.3,0.0197297876903281,0.261312459789835,-4.9,0.0571520480377439,0.0800986489384516,0,8.6,0,0,0,19.9,0,0,5847,0.966545142612052,0,1.8,"MT",0.532046365728036
30089,11364,4.5,18.2,26,48.9,91.8,0.3,4.5,0.5,0.1,2.8,2.5,90,89.3,2.1,3.6,87.2,16.7,1537,22,6660,76.6,5.4,166500,5149,2.17,19188,32881,22,0.0310630059838085,0.17775431186202,5.8,0.0887891587469201,0.142643435410067,0,0,0,0,0,0,0,0,7460,1.07286166842661,0,4.1,"MT",0.611784823863631
30091,3696,5.4,20.9,20.8,49.1,95,0.4,2,0.4,0,2.2,2.2,93.3,89.8,1.3,2,90.7,23.4,299,12.2,2137,74.4,12.3,109500,1612,2.09,31378,48667,11.8,0.0503246753246753,0.290313852813853,9.5,0.0933441558441558,0,0,0,0,0,0,0,0,1.34172077922078,9450,1.29112554112554,0.000811688311688312,2,"MT",0.637584076269285
30093,34680,5.8,20.5,17.3,49.3,94.4,0.5,2.1,0.7,0.1,2.2,4.2,91.1,80.4,1.9,4.1,90.9,22.2,3172,15.6,16811,65.5,21.1,121900,15042,2.21,23562,38659,19.1,0.0332756632064591,0.376845444059977,-3.1,0.0631776239907728,0.108246828143022,0,0,0,0,0,24.5,0,0,15486,2.25735294117647,0.00167243367935409,47.6,"MT",0.585986521874751
30095,9290,4.6,21.6,20.1,49,96.3,0.3,1,0.4,0,1.9,3.3,93.6,89.7,1,1.5,92.5,22.1,1144,28.1,4812,79.9,2.5,185900,3757,2.4,28868,57906,7.8,0.0277717976318622,0.281485468245425,-2.5,0.0835306781485468,0.108611410118407,0,0,0,0,0,0,0,1.52744886975242,11961,1.05597416576964,0.000322927879440258,5.1,"MT",0.610432547615386
30097,3665,4.3,22.2,23.5,50.5,96.8,0.1,0.7,0.5,0,1.9,2,95.1,95,1.5,2.6,91.7,27.1,304,18.7,2129,73,6.2,192700,1304,2.73,22743,45938,13.5,0.0422919508867667,0.272305593451569,-3.8,0.115143246930423,0.147612551159618,0,0,0,0,0,0,0,0,11450,1.68758526603001,0.000818553888130969,2,"MT",0.721407604064011
30099,6064,6.1,23,22,50.9,96,0.1,1.6,0.2,0,2.2,1.4,94.7,90.1,1.6,3.9,90.4,24.5,607,20.4,2882,75.9,8.5,134700,2303,2.52,22799,43327,15.1,0.0339709762532982,0.200032981530343,13,0.0984498680738786,0.168865435356201,0,0,0,0,0,0,0,0,7130,0.492579155672823,0.000329815303430079,2.7,"MT",0.677620532501799
30101,5150,5.3,19.9,15.6,43.6,91,0.8,5.6,0.6,0,2,3,88.5,81.4,3.6,7,88.1,14.6,722,16.3,2346,63.5,14.9,106300,1927,2.3,23162,46972,16.3,0.0376699029126214,0.314174757281553,2.5,0.0656310679611651,0.0968932038834951,0,8.4,0,0,0,25.3,0,18.7021359223301,10989,2.05864077669903,0.00058252427184466,2.8,"MT",0.490163994036581
30103,692,6.1,17.6,27,48,94.9,0.1,2.2,0.4,0,2.3,2.7,93.1,92.1,1.4,6.9,86.4,21.3,80,21,423,70.2,2.1,67500,332,2.14,23948,37105,11.3,0.0260115606936416,0.088150289017341,-12.9,0.0895953757225433,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"MT",0.755864526628879
30105,7640,5.4,22.7,20.8,49.5,87.1,0.4,9.4,0.7,0.1,2.4,2.2,85.4,91.5,1,1.8,91,17.1,718,17.5,4844,69,20.3,102300,3248,2.25,25685,47181,13.5,0.0353403141361257,0.293717277486911,-0.8,0.0731675392670157,0,0,0,0,0,0,0,0,10.5239528795812,11829,1.43324607329843,0.000130890052356021,1.5,"MT",0.63040577609504
